keys,zh_CN
HUD_HP,生命
HUD_STAMINA,体力
HUD_DUST,炼金尘
HUD_HINT,左键 三段连击 · E 炼成技 · Q 炼成爆发 · R 等价交换 · 1/2/3 切换 · F3 调试
HUD_EQUIVALENCE_LAW,等价交换法则：欲有所得，必有所失
MENU_PAUSED,已暂停
MENU_RESUME_HINT,按 Esc 继续 · 点击画面锁定鼠标
ELEMENT_FIRE,火
ELEMENT_WATER,水
ELEMENT_METAL,金
REACTION_STEAM_BURST,蒸汽爆发
REACTION_WHITE_MIST,白雾弥漫
REACTION_MOLTEN_GOLD,熔金
REACTION_RUST,锈蚀
REACTION_QUENCH_BRITTLE,淬火脆化
CHAR_AIDEN,艾登
CHAR_LISEA,莉赛尔
CHAR_KAVEN,卡文
SKILL_E_AIDEN,钢之涟漪
SKILL_Q_AIDEN,钢之洪流
SKILL_E_LISEA,灼痕印记
SKILL_Q_LISEA,苍炎葬列
SKILL_E_KAVEN,涌泉之环
SKILL_Q_KAVEN,深渊之拥
ENEMY_MINER,蚀化矿工
ENEMY_HOUND,蚀化猎犬
ENEMY_PUPPET,锈蚀傀儡
ENEMY_MOTE,游荡水元素
ENEMY_OVERSEER,精英·矿监工
